"","speciesKey","species","endem_class","perc_zt","n","usageKey","scientificName","canonicalName","rank","status","confidence","matchType","kingdom","phylum","order","family","genus","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","synonym","class","label"
"400",3116842,"Sphagneticola trilobata","[0,0.05)",0.0174227799227799,20720,3116842,"Sphagneticola trilobata (L.) Pruski","Sphagneticola trilobata","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Sphagneticola",6,7707728,220,414,3065,3116841,FALSE,"Magnoliopsida","Sphagneticola_trilobata"
"401",3116861,"Sphagneticola calendulacea","[0,0.05)",0,189,3116861,"Sphagneticola calendulacea (L.) Pruski","Sphagneticola calendulacea","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Sphagneticola",6,7707728,220,414,3065,3116841,FALSE,"Magnoliopsida","Sphagneticola_calendulacea"
"402",3116911,"Lasiocephalus lingulatus","[0.99,1]",1,60,3099471,"Aetheolaena lingulata (Schltdl.) B.Nord.","Aetheolaena lingulata","SPECIES","SYNONYM",99,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Lasiocephalus",6,7707728,220,414,3065,7965433,TRUE,"Magnoliopsida","Aetheolaena_lingulata"
"403",3116911,"Lasiocephalus lingulatus","[0.99,1]",1,60,3099477,"Aetheolaena pichinchensis (Cuatrec.) B.Nord.","Aetheolaena pichinchensis","SPECIES","SYNONYM",99,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Lasiocephalus",6,7707728,220,414,3065,7965433,TRUE,"Magnoliopsida","Aetheolaena_pichinchensis"
"404",3116921,"Lasiocephalus ovatus","[0.99,1]",1,378,3116921,"Lasiocephalus ovatus D.F.K.Schltdl.","Lasiocephalus ovatus","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Lasiocephalus",6,7707728,220,414,3065,7965433,FALSE,"Magnoliopsida","Lasiocephalus_ovatus"
"405",3116941,"Lasiocephalus longipenicillatus","[0.5,0.99)",0.6,5,3116944,"Aetheolaena longipenicillata (Sch.Bip. ex Sandwith) B.Nord.","Aetheolaena longipenicillata","SPECIES","SYNONYM",99,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Lasiocephalus",6,7707728,220,414,3065,7965433,TRUE,"Magnoliopsida","Aetheolaena_longipenicillata"
"406",3117068,"Gamochaeta capitata","[0.5,0.99)",0.890625,64,3117068,"Gamochaeta capitata Wedd.","Gamochaeta capitata","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Gamochaeta",6,7707728,220,414,3065,3139636,FALSE,"Magnoliopsida","Gamochaeta_capitata"
"407",3117187,"Holoschkuhria tetramera","[0.1,0.5)",0.4,5,3117187,"Holoschkuhria tetramera H.Rob.","Holoschkuhria tetramera","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Holoschkuhria",6,7707728,220,414,3065,3117186,FALSE,"Magnoliopsida","Holoschkuhria_tetramera"
"408",3117286,"Gnephosis arachnoidea","[0,0.05)",0,1215,3117286,"Gnephosis arachnoidea Turcz.","Gnephosis arachnoidea","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Gnephosis",6,7707728,220,414,3065,3117285,FALSE,"Magnoliopsida","Gnephosis_arachnoidea"
"409",3117397,"Acrisione denticulata","[0,0.05)",0.0140845070422535,213,3117397,"Acrisione denticulata (Hook. & Arn.) B.Nord.","Acrisione denticulata","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Acrisione",6,7707728,220,414,3065,3117396,FALSE,"Magnoliopsida","Acrisione_denticulata"
"410",3117424,"Bellis perennis","[0,0.05)",0.000236280938035324,270864,3117424,"Bellis perennis L.","Bellis perennis","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Bellis",6,7707728,220,414,3065,3117399,FALSE,"Magnoliopsida","Bellis_perennis"
"411",3117449,"Erigeron annuus","[0,0.05)",5.77437218138458e-06,173179,3117449,"Erigeron annuus (L.) Pers.","Erigeron annuus","SPECIES","ACCEPTED",98,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Erigeron",6,7707728,220,414,3065,3146588,FALSE,"Magnoliopsida","Erigeron_annuus"
"412",3117992,"Aldama dentata","[0,0.05)",0.000668002672010688,1497,3117992,"Aldama dentata La Llave","Aldama dentata","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Aldama",6,7707728,220,414,3065,3117990,FALSE,"Magnoliopsida","Aldama_dentata"
"413",3118062,"Duidaea pinifolia","[0,0.05)",0,3,3118062,"Duidaea pinifolia S.F.Blake","Duidaea pinifolia","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Duidaea",6,7707728,220,414,3065,3118059,FALSE,"Magnoliopsida","Duidaea_pinifolia"
